21-45-04.871000,------------------------
21-45-51.699000,[R]: 0 
21-45-51.706000,[R]: 50 
21-45-51.777000,S 1 	RSSI: 46
21-45-51.808000,[R]: 50 
21-45-51.845000,[R]: 0 
21-45-51.854000,[R]: 50 
21-45-51.880000,S 1 	RSSI: 47
21-45-51.957000,[R]: 50 
21-45-51.984000,S 1 	RSSI: 47
21-45-52.060000,[R]: 50 
21-45-52.064000,[R]: 0 
21-45-52.072000,[R]: 50 
21-45-52.087000,S 1 	RSSI: 47
21-45-52.174000,[R]: 50 
21-45-52.189000,S 1 	RSSI: 47
21-45-52.278000,[R]: 50 
21-45-52.380000,[R]: 50 
21-45-52.482000,[R]: 50 
21-45-52.499000,S 1 	RSSI: 47
21-45-52.585000,[R]: 50 
21-45-52.602000,S 1 	RSSI: 47
21-45-52.687000,[R]: 50 
21-45-52.706000,S 1 	RSSI: 47
21-45-52.790000,[R]: 50 
21-45-52.808000,S 1 	RSSI: 47
21-45-52.892000,[R]: 50 
21-45-52.911000,S 1 	RSSI: 47
21-45-52.996000,[R]: 50 
21-45-53.014000,S 1 	RSSI: 47
21-45-53.099000,[R]: 50 
21-45-53.117000,S 1 	RSSI: 47
21-45-53.202000,[R]: 50 
21-45-53.220000,S 1 	RSSI: 47
21-45-53.304000,[R]: 50 
21-45-53.323000,S 1 	RSSI: 47
21-45-53.408000,[R]: 50 
21-45-53.426000,S 1 	RSSI: 47
21-45-53.511000,[R]: 50 
21-45-53.529000,S 1 	RSSI: 47
21-45-53.613000,[R]: 50 
21-45-53.631000,S 1 	RSSI: 47
21-45-53.717000,[R]: 50 
21-45-53.735000,S 1 	RSSI: 47
21-45-53.819000,[R]: 50 
21-45-53.837000,S 1 	RSSI: 46
21-45-53.883000,[R]: 0 
21-45-53.887000,S 1 	RSSI: 46
21-45-53.890000,[R]: 50 
21-45-53.989000,S 1 	RSSI: 47
21-45-53.992000,[R]: 50 
21-45-54.093000,S 1 	RSSI: 47
21-45-54.096000,[R]: 50 
21-45-54.196000,S 1 	RSSI: 47
21-45-54.199000,[R]: 50 
21-45-54.299000,S 1 	RSSI: 47
21-45-54.302000,[R]: 50 
21-45-54.347000,S 1 	RSSI: 47
21-45-54.360000,S 1 	RSSI: 47
21-45-54.404000,[R]: 50 
21-45-54.464000,S 1 	RSSI: 47
21-45-54.507000,[R]: 50 
21-45-54.566000,S 1 	RSSI: 47
21-45-54.610000,[R]: 50 
21-45-54.669000,S 1 	RSSI: 46
21-45-54.713000,[R]: 50 
21-45-54.772000,S 1 	RSSI: 46
21-45-54.815000,[R]: 50 
21-45-54.821000,S 1 	RSSI: 46
21-45-54.918000,[R]: 50 
21-45-54.925000,S 1 	RSSI: 46
21-45-55.021000,[R]: 50 
21-45-55.027000,S 1 	RSSI: 47
21-45-55.124000,[R]: 50 
21-45-55.227000,[R]: 50 
21-45-55.235000,S 1 	RSSI: 47
21-45-55.272000,[R]: 0 
21-45-55.277000,S 1 	RSSI: 47
21-45-55.280000,[R]: 50 
21-45-55.382000,[R]: 50 
21-45-55.484000,[R]: 50 
21-45-55.588000,[R]: 50 
21-45-55.588000,S 1 	RSSI: 47
21-45-55.608000,S 1 	RSSI: 47
21-45-55.689000,[R]: 50 
21-45-55.791000,[R]: 50 
21-45-55.817000,S 1 	RSSI: 46
21-45-55.893000,[R]: 50 
21-45-55.996000,[R]: 50 
21-45-56.026000,S 1 	RSSI: 47
21-45-56.098000,[R]: 50 
21-45-56.201000,[R]: 50 
21-45-56.302000,[R]: 50 
21-45-56.336000,S 1 	RSSI: 47
21-45-56.405000,[R]: 50 
21-45-56.507000,[R]: 50 
21-45-56.545000,S 1 	RSSI: 48
21-45-56.609000,[R]: 50 
21-45-56.712000,[R]: 50 
21-45-56.722000,S 4 	RSSI: 44
21-45-56.815000,[R]: 50 
21-45-56.824000,S 4 	RSSI: 44
21-45-56.894000,S 4 	RSSI: 44
21-45-56.917000,[R]: 50 
21-45-56.959000,S 1 	RSSI: 47
21-45-56.995000,S 4 	RSSI: 44
21-45-57.019000,[R]: 50 
21-45-57.061000,S 1 	RSSI: 47
21-45-57.099000,S 4 	RSSI: 44
21-45-57.122000,[R]: 50 
21-45-57.165000,S 1 	RSSI: 47
21-45-57.225000,[R]: 50 
21-45-57.268000,S 1 	RSSI: 46
21-45-57.328000,[R]: 50 
21-45-57.370000,S 1 	RSSI: 46
21-45-57.418000,[R]: 0 
21-45-57.426000,[R]: 50 
21-45-57.529000,[R]: 50 
21-45-57.553000,[R]: 0 
21-45-57.559000,S 1 	RSSI: 46
21-45-57.562000,[R]: 50 
21-45-57.828000,[R]: 50 
21-45-58.093000,[R]: 50 
21-45-58.359000,[R]: 50 
21-45-58.368000,S 1 	RSSI: 47
21-45-58.625000,[R]: 50 
21-45-58.638000,S 1 	RSSI: 47
21-45-58.891000,[R]: 50 
21-45-59.157000,[R]: 50 
21-45-59.423000,[R]: 50 
21-45-59.445000,S 1 	RSSI: 46
21-45-59.511000,S 4 	RSSI: 44
21-45-59.567000,[R]: 0 
21-45-59.575000,[R]: 50 
21-45-59.613000,S 4 	RSSI: 44
21-45-59.677000,[R]: 50 
21-45-59.715000,S 4 	RSSI: 44
21-45-59.780000,[R]: 50 
21-45-59.818000,S 4 	RSSI: 44
21-45-59.882000,[R]: 50 
21-45-59.920000,S 4 	RSSI: 44
21-45-59.981000,S 1 	RSSI: 46
21-45-59.984000,[R]: 50 
21-46-00.022000,S 4 	RSSI: 44
21-46-00.087000,[R]: 50 
21-46-00.125000,S 4 	RSSI: 44
21-46-00.189000,[R]: 50 
21-46-00.227000,S 4 	RSSI: 44
21-46-00.291000,[R]: 50 
21-46-00.328000,S 4 	RSSI: 44
21-46-00.393000,[R]: 50 
21-46-00.432000,S 4 	RSSI: 44
21-46-00.496000,[R]: 50 
21-46-00.518000,S 1 	RSSI: 47
21-46-00.599000,[R]: 50 
21-46-00.701000,[R]: 50 
21-46-00.803000,[R]: 50 
21-46-00.906000,[R]: 50 
21-46-01.006000,S 1 	RSSI: 48
21-46-01.009000,[R]: 50 
21-46-01.108000,S 1 	RSSI: 48
21-46-01.111000,[R]: 50 
21-46-01.214000,[R]: 50 
21-46-01.316000,[R]: 50 
21-46-01.357000,[R]: 0 
21-46-01.362000,S 1 	RSSI: 48
21-46-01.365000,[R]: 50 
21-46-01.466000,[R]: 50 
21-46-01.569000,[R]: 50 
21-46-01.652000,S 1 	RSSI: 48
21-46-01.672000,[R]: 50 
21-46-01.774000,[R]: 50 
21-46-01.860000,S 1 	RSSI: 48
21-46-01.876000,[R]: 50 
21-46-01.964000,S 1 	RSSI: 48
21-46-01.979000,[R]: 50 
21-46-02.067000,S 4 	RSSI: 44
21-46-02.082000,[R]: 50 
21-46-02.169000,S 4 	RSSI: 44
21-46-02.184000,[R]: 50 
21-46-02.271000,S 4 	RSSI: 44
21-46-02.286000,[R]: 50 
21-46-02.374000,S 4 	RSSI: 44
21-46-02.378000,S 1 	RSSI: 47
21-46-02.389000,[R]: 50 
21-46-02.476000,S 4 	RSSI: 44
21-46-02.481000,S 1 	RSSI: 48
21-46-02.492000,[R]: 50 
21-46-02.583000,S 1 	RSSI: 48
21-46-02.594000,[R]: 50 
21-46-02.686000,S 1 	RSSI: 48
21-46-02.698000,[R]: 50 
21-46-02.800000,[R]: 50 
21-46-02.895000,S 1 	RSSI: 47
21-46-02.902000,[R]: 50 
21-46-02.974000,[R]: 0 
21-46-02.983000,[R]: 50 
21-46-02.988000,[R]: 0 
21-46-02.995000,[R]: 50 
21-46-02.997000,S 1 	RSSI: 47
21-46-03.099000,[R]: 50 
21-46-03.201000,[R]: 50 
21-46-03.303000,[R]: 50 
21-46-03.365000,S 1 	RSSI: 47
21-46-03.406000,[R]: 50 
21-46-03.508000,[R]: 50 
21-46-03.610000,[R]: 50 
21-46-03.677000,S 1 	RSSI: 47
21-46-03.712000,[R]: 50 
21-46-03.815000,[R]: 50 
21-46-03.917000,[R]: 50 
21-46-03.988000,S 1 	RSSI: 47
21-46-04.019000,[R]: 50 
21-46-04.121000,[R]: 50 
21-46-04.224000,[R]: 50 
21-46-04.326000,[R]: 50 
21-46-04.429000,[R]: 50 
21-46-04.531000,[R]: 50 
21-46-04.553000,S 4 	RSSI: 44
21-46-04.634000,[R]: 50 
21-46-04.656000,S 4 	RSSI: 44
21-46-04.736000,[R]: 50 
21-46-04.758000,S 4 	RSSI: 44
21-46-04.838000,[R]: 50 
21-46-04.859000,S 4 	RSSI: 44
21-46-04.922000,S 1 	RSSI: 47
21-46-04.941000,[R]: 50 
21-46-04.963000,S 4 	RSSI: 44
21-46-05.025000,S 1 	RSSI: 47
21-46-05.044000,[R]: 50 
21-46-05.128000,S 1 	RSSI: 47
21-46-05.147000,[R]: 50 
21-46-05.230000,S 1 	RSSI: 47
21-46-05.249000,[R]: 50 
21-46-05.352000,[R]: 50 
21-46-05.439000,S 1 	RSSI: 47
21-46-05.454000,[R]: 50 
21-46-05.542000,S 1 	RSSI: 47
21-46-05.557000,[R]: 50 
21-46-05.658000,[R]: 50 
21-46-05.761000,[R]: 50 
21-46-05.853000,S 1 	RSSI: 47
21-46-05.864000,[R]: 50 
