23-18-15.625,"""Scanner enabled\r\n"""
23-20-33.351,"1 46"""
23-20-33.352,"3 60"""
23-20-33.353,"4 51"""
23-20-33.366,"7 52"""
23-20-33.374,"1 46"""
23-20-33.387, 0 0 0 0 0 0 0 46
23-20-33.387,46 0 44 44 0 0 44 44
23-20-33.388,54 0 0 0 0 0 44 49
23-20-33.389,0 0 0 0 0 0 44 49
23-20-33.390,0 0 0 0 0 0 0 0
23-20-33.392,0 0 0 0 0 0 0 0
23-20-33.393,0 0 0 0 0 0 0 47
23-20-33.393,"0 0 0 0 0""2 46"""
23-20-33.394,"3 61"""
23-20-33.394,"4 51"""
23-20-33.395,"8 51"""
23-20-33.398,"7 52"""
23-20-33.405,"6 48"""
23-20-33.407,"1 46"""
23-20-33.411,"2 46"""
23-20-33.414,"3 62"""
23-20-33.428, 0 0 0 0 0 0 0 46
23-20-33.434,46 0 0 0 0 0 44 44
23-20-33.435,54 44 0 44 0 0 44 51
23-20-33.436,66 44 0 0 0 0 44 50
23-20-33.437,0 0 0 0 0 0 0 0
23-20-33.437,0 0 0 44 0 0 0 0
23-20-33.438,45 0 0 0 0 0 0 45
23-20-33.438,"0 0 0""4 51"""
23-20-33.447,"8 53"""
23-20-33.448,"6 48"""
23-20-33.448,"1 46"""
23-20-33.449,"2 46"""
23-20-33.449,"3 62"""
23-20-33.451,"4 51"""
23-20-33.468, 0 0 0 0 0 0 0 46
23-20-33.507,46 0 0 0 0 0 0 44
23-20-33.508,54 44 0 44 0 0 44 52
23-20-33.508,67 44 0 0 0 0 44 47
23-20-33.509,0 0 0 0 0 0 0 0
23-20-33.509,0 0 65 44 0 0 0 0
23-20-33.510,0 0 0 0 0 0 0 0
23-20-33.511,"0 0 0 0""1 45"""
23-20-33.512,"2 46"""
23-20-33.512,"6 48"""
23-20-33.513,"4 51"""
23-20-33.513,"3 61"""
23-20-33.514,"7 51"""
23-20-33.514,"8 62"""
23-20-33.515,"1 46"""
23-20-33.516, 0 0 0 0 0 0 0 0
23-20-33.516,0 0 0 0 0 0 0 0
23-20-33.530,54 44 0 44 0 0 0 0
23-20-33.534,66 44 0 0 0 0 0 0
23-20-33.535,0 0 0 0 0 0 0 0
23-20-33.536,0 0 65 44 0 0 0 0
23-20-33.536,45 44 0 0 0 0 0 0
23-20-33.537,"46 0 0 0 0 0""6 48"""
23-20-33.538,"3 60"""
23-20-33.538,"7 51"""
23-20-33.539,"8 58"""
23-20-33.539,"1 46"""
23-20-33.540,"2 46"""
