22-41-32.858000,--------------------------
22-43-47.832000,[R]: 20 
22-43-47.833000,[R]: 1 
22-43-47.834000,S 1 	RSSI: 54
22-43-47.836000,[R]: 2 
22-43-47.842000,[R]: 50 
22-43-47.843000,[R]: 3 
22-43-47.862000,S 5 	RSSI: 44
22-43-47.866000,[R]: 4 
22-43-47.867000,[R]: 5 
22-43-47.867000,[R]: 6 
22-43-47.868000,[R]: 7 
22-43-47.868000,[R]: 8 
22-43-47.870000,[R]: 1 
22-43-47.870000,S 1 	RSSI: 54
22-43-47.873000,[R]: 2 
22-43-47.874000,[R]: 50 
22-43-47.878000,[R]: 3 
22-43-47.881000,S 5 	RSSI: 44
22-43-47.887000,[R]: 4 
22-43-47.887000,[R]: 5 
22-43-47.888000,[R]: 6 
22-43-47.898000,[R]: 7 
22-43-47.907000,[R]: 8 
22-43-47.909000,[R]: 1 
22-43-47.929000,S 1 	RSSI: 54
22-43-47.929000,[R]: 2 
22-43-47.930000,[R]: 50 
22-43-47.930000,[R]: 3 
22-43-47.931000,S 5 	RSSI: 44
22-43-47.946000,[R]: 4 
22-43-47.946000,[R]: 5 
22-43-47.954000,[R]: 6 
22-43-47.962000,[R]: 7 
22-43-47.967000,[R]: 8 
22-43-47.968000,[R]: 1 
22-43-47.998000,S 1 	RSSI: 54
22-43-48.001000,[R]: 2 
22-43-48.001000,[R]: 50 
22-43-48.035000,[R]: 3 
22-43-48.054000,S 5 	RSSI: 44
22-43-48.058000,[R]: 4 
22-43-48.059000,[R]: 5 
22-43-48.059000,[R]: 20 
22-43-48.060000,[R]: 1 
22-43-48.061000,S 1 	RSSI: 54
22-43-48.061000,[R]: 2 
22-43-48.063000,[R]: 50 
22-43-48.064000,[R]: 3 
22-43-48.065000,[R]: 4 
22-43-48.066000,S 6 	RSSI: 44
22-43-48.099000,[R]: 5 
22-43-48.099000,S 8 	RSSI: 51
22-43-48.100000,[R]: 6 
22-43-48.101000,[R]: 7 
22-43-48.101000,[R]: 8 
22-43-48.102000,[R]: 1 
22-43-48.102000,S 1 	RSSI: 54
22-43-48.124000,[R]: 2 
22-43-48.147000,[R]: 50 
22-43-48.147000,[R]: 3 
22-43-48.148000,[R]: 4 
22-43-48.149000,S 6 	RSSI: 44
22-43-48.160000,S 3 	RSSI: 44
22-43-48.162000,[R]: 5 
22-43-48.162000,S 4 	RSSI: 44
22-43-48.163000,[R]: 6 
22-43-48.180000,[R]: 7 
22-43-48.180000,[R]: 8 
22-43-48.181000,S 7 	RSSI: 44
22-43-48.182000,[R]: 1 
22-43-48.182000,S 1 	RSSI: 54
22-43-48.183000,[R]: 2 
22-43-48.184000,[R]: 50 
22-43-48.184000,[R]: 3 
22-43-48.185000,[R]: 4 
22-43-48.185000,S 3 	RSSI: 44
22-43-48.186000,[R]: 5 
22-43-48.187000,S 4 	RSSI: 44
22-43-48.199000,[R]: 6 
22-43-48.200000,[R]: 7 
22-43-48.201000,[R]: 8 
22-43-48.201000,S 7 	RSSI: 44
22-43-48.202000,[R]: 1 
22-43-48.202000,S 1 	RSSI: 54
22-43-48.203000,[R]: 2 
22-43-48.244000,[R]: 50 
22-43-48.244000,[R]: 3 
22-43-48.246000,[R]: 4 
22-43-48.246000,S 3 	RSSI: 44
22-43-48.247000,[R]: 5 
22-43-48.248000,S 4 	RSSI: 44
22-43-48.248000,[R]: 6 
22-43-48.249000,[R]: 7 
22-43-48.250000,[R]: 8 
22-43-48.250000,S 7 	RSSI: 44
22-43-48.269000,[R]: 1 
22-43-48.276000,S 1 	RSSI: 54
22-43-48.277000,[R]: 2 
22-43-48.277000,[R]: 50 
22-43-48.283000,[R]: 3 
22-43-48.283000,[R]: 4 
22-43-48.284000,S 3 	RSSI: 44
22-43-48.284000,[R]: 5 
22-43-48.285000,[R]: 6 
22-43-48.285000,S 5 	RSSI: 44
22-43-48.285000,[R]: 7 
22-43-48.286000,[R]: 8 
22-43-48.286000,[R]: 1 
22-43-48.287000,S 1 	RSSI: 54
22-43-48.295000,[R]: 2 
22-43-48.295000,[R]: 50 
22-43-48.296000,[R]: 3 
22-43-48.298000,S 5 	RSSI: 44
22-43-48.298000,[R]: 4 
22-43-48.317000,[R]: 5 
22-43-48.325000,[R]: 6 
22-43-48.332000,[R]: 7 
22-43-48.333000,[R]: 8 
22-43-48.361000,[R]: 20 
22-43-48.369000,[R]: 1 
22-43-48.369000,S 1 	RSSI: 54
22-43-48.370000,[R]: 2 
22-43-48.371000,[R]: 50 
22-43-48.402000,[R]: 3 
22-43-48.402000,[R]: 4 
22-43-48.403000,[R]: 5 
22-43-48.403000,S 5 	RSSI: 44
22-43-48.404000,[R]: 6 
22-43-48.439000,[R]: 7 
22-43-48.455000,[R]: 8 
22-43-48.479000,[R]: 1 
22-43-48.479000,S 1 	RSSI: 55
22-43-48.496000,[R]: 2 
22-43-48.496000,[R]: 50 
22-43-48.497000,[R]: 3 
22-43-48.498000,[R]: 4 
22-43-48.498000,[R]: 5 
22-43-48.502000,S 5 	RSSI: 44
22-43-48.503000,[R]: 6 
22-43-48.503000,[R]: 7 
22-43-48.513000,[R]: 8 
22-43-48.514000,[R]: 1 
22-43-48.524000,[R]: 2 
22-43-48.535000,[R]: 50 
22-43-48.536000,[R]: 3 
22-43-48.547000,[R]: 4 
22-43-48.557000,[R]: 5 
22-43-48.567000,S 5 	RSSI: 44
22-43-48.578000,[R]: 6 
22-43-48.579000,[R]: 7 
22-43-48.579000,[R]: 8 
22-43-48.580000,[R]: 1 
22-43-48.580000,[R]: 2 
22-43-48.581000,[R]: 50 
22-43-48.582000,[R]: 3 
22-43-48.582000,[R]: 4 
22-43-48.597000,[R]: 5 
22-43-48.600000,S 5 	RSSI: 44
22-43-48.603000,[R]: 6 
22-43-48.603000,[R]: 7 
22-43-48.618000,[R]: 8 
22-43-48.629000,[R]: 1 
22-43-48.630000,[R]: 2 
22-43-48.631000,[R]: 50 
22-43-48.641000,[R]: 3 
22-43-48.661000,[R]: 4 
22-43-48.663000,[R]: 5 
22-43-48.663000,S 5 	RSSI: 44
22-43-48.664000,[R]: 6 
22-43-48.668000,[R]: 7 
22-43-48.668000,[R]: 20 
22-43-48.669000,[R]: 1 
22-43-48.689000,S 1 	RSSI: 55
22-43-48.709000,[R]: 2 
22-43-48.710000,[R]: 50 
22-43-48.712000,[R]: 3 
