09-19-42.466000,S 6 	RSSI: 50
09-19-42.472000,[R]: 5 
09-19-42.474000,S 8 	RSSI: 50
09-19-42.478000,[R]: 6 
09-19-42.499000,S 3 	RSSI: 51
09-19-42.500000,S 5 	RSSI: 55
09-19-42.500000,[R]: 20 
09-19-42.500000,[R]: 1 
09-19-42.501000,[R]: 50 
09-19-42.505000,[R]: 2 
09-19-42.506000,S 2 	RSSI: 44
09-19-42.508000,S 7 	RSSI: 44
09-19-42.508000,[R]: 3 
09-19-42.509000,[R]: 4 
09-19-42.515000,S 6 	RSSI: 50
09-19-42.515000,[R]: 5 
09-19-42.516000,S 3 	RSSI: 51
09-19-42.517000,S 5 	RSSI: 55
09-19-42.518000,S 8 	RSSI: 50
09-19-42.519000,[R]: 6 
09-19-42.523000,[R]: 20 
