09-46-23.294000,------------------------------------
09-46-28.203000,[R]: 10 
09-46-28.210000,[R]: 10 
09-46-28.218000,[R]: 10 
09-46-28.225000,[R]: 10 
09-46-28.232000,[R]: 10 
09-46-28.239000,[R]: 10 
09-46-28.247000,[R]: 10 
09-46-28.254000,[R]: 10 
09-46-28.261000,[R]: 10 
09-46-28.268000,[R]: 10 
09-46-28.276000,[R]: 10 
09-46-28.283000,[R]: 10 
09-46-28.290000,[R]: 10 
09-46-28.298000,[R]: 10 
09-46-28.305000,[R]: 10 
09-46-28.312000,[R]: 10 
09-46-28.319000,[R]: 10 
09-46-28.326000,[R]: 10 
09-46-28.333000,[R]: 10 
09-46-28.341000,[R]: 10 
09-46-28.348000,[R]: 10 
09-46-28.355000,[R]: 10 
09-46-28.363000,[R]: 10 
09-46-28.370000,[R]: 10 
09-46-28.377000,[R]: 10 
09-46-28.384000,[R]: 10 
09-46-28.391000,[R]: 10 
09-46-28.399000,[R]: 10 
09-46-28.406000,[R]: 10 
09-46-28.413000,[R]: 10 
09-46-28.420000,[R]: 10 
09-46-28.428000,[R]: 10 
09-46-28.435000,[R]: 10 
09-46-28.443000,[R]: 10 
09-46-28.450000,[R]: 10 
09-46-28.457000,[R]: 10 
09-46-28.465000,[R]: 10 
09-46-28.472000,[R]: 10 
09-46-28.479000,[R]: 10 
09-46-28.486000,[R]: 10 
09-46-28.494000,[R]: 10 
09-46-28.501000,[R]: 10 
09-46-28.508000,[R]: 10 
09-46-28.515000,[R]: 10 
09-46-28.522000,[R]: 10 
09-46-28.530000,[R]: 10 
09-46-28.537000,[R]: 10 
09-46-28.543000,[R]: 10 
09-46-28.550000,[R]: 10 
09-46-28.558000,[R]: 10 
09-46-28.565000,[R]: 10 
09-46-28.572000,[R]: 10 
09-46-28.579000,[R]: 10 
09-46-28.587000,[R]: 10 
09-46-28.594000,[R]: 10 
09-46-28.601000,[R]: 10 
09-46-28.608000,[R]: 10 
09-46-28.615000,[R]: 10 
09-46-28.623000,[R]: 10 
09-46-28.630000,[R]: 10 
09-46-28.637000,[R]: 10 
09-46-28.644000,[R]: 10 
09-46-28.652000,[R]: 10 
09-46-28.659000,[R]: 10 
09-46-28.666000,[R]: 10 
09-46-28.673000,[R]: 10 
09-46-28.681000,[R]: 10 
09-46-28.688000,[R]: 10 
09-46-28.695000,[R]: 10 
09-46-28.702000,[R]: 10 
09-46-28.710000,[R]: 10 
09-46-28.717000,[R]: 10 
09-46-28.724000,[R]: 10 
09-46-28.731000,[R]: 10 
09-46-28.739000,[R]: 10 
09-46-28.746000,[R]: 10 
09-46-28.753000,[R]: 10 
09-46-28.760000,[R]: 10 
09-46-28.768000,[R]: 10 
09-46-28.775000,[R]: 10 
09-46-28.782000,[R]: 10 
09-46-28.789000,[R]: 10 
09-46-28.797000,[R]: 10 
09-46-28.804000,[R]: 10 
09-46-28.812000,[R]: 10 
09-46-28.819000,[R]: 10 
09-46-28.826000,[R]: 10 
09-46-28.833000,[R]: 10 
09-46-28.841000,[R]: 10 
09-46-28.848000,[R]: 10 
09-46-28.855000,[R]: 10 
09-46-28.862000,[R]: 10 
09-46-28.870000,[R]: 10 
09-46-28.877000,[R]: 10 
09-46-28.884000,[R]: 10 
09-46-28.891000,[R]: 10 
09-46-28.898000,[R]: 10 
09-46-28.906000,[R]: 10 
09-46-28.912000,[R]: 10 
09-46-28.919000,[R]: 10 
09-46-28.926000,[R]: 10 
09-46-28.934000,[R]: 10 
09-46-28.941000,[R]: 10 
09-46-28.948000,[R]: 10 
09-46-28.955000,[R]: 10 
09-46-28.964000,[R]: 10 
09-46-28.970000,[R]: 10 
09-46-28.977000,[R]: 10 
09-46-28.984000,[R]: 10 
09-46-28.992000,[R]: 10 
09-46-28.999000,[R]: 10 
09-46-29.006000,[R]: 10 
09-46-29.013000,[R]: 10 
09-46-29.021000,[R]: 10 
09-46-29.028000,[R]: 10 
09-46-29.035000,[R]: 10 
09-46-29.042000,[R]: 10 
09-46-29.050000,[R]: 10 
09-46-29.057000,[R]: 10 
09-46-29.064000,[R]: 10 
