22-57-06.503000,----------------------------
22-57-11.611000,S 1 	RSSI: 53
22-57-11.615000,[R]: 0 
22-57-11.624000,[R]: 50 
22-57-11.627000,[R]: 0 
22-57-11.635000,[R]: 0 
22-57-11.644000,[R]: 50 
22-57-11.645000,[R]: 0 
22-57-11.655000,[R]: 0 
22-57-11.658000,S 1 	RSSI: 53
22-57-11.665000,[R]: 50 
22-57-11.666000,[R]: 0 
22-57-11.671000,S 1 	RSSI: 53
22-57-11.676000,[R]: 0 
22-57-11.685000,[R]: 50 
22-57-11.687000,[R]: 0 
22-57-11.695000,[R]: 0 
22-57-11.705000,[R]: 50 
22-57-11.708000,[R]: 0 
22-57-11.715000,[R]: 0 
22-57-11.718000,S 1 	RSSI: 53
22-57-11.725000,[R]: 50 
22-57-11.725000,[R]: 0 
22-57-11.731000,S 1 	RSSI: 53
22-57-11.735000,[R]: 0 
22-57-11.738000,S 1 	RSSI: 53
22-57-11.745000,[R]: 50 
22-57-11.746000,[R]: 0 
22-57-11.751000,S 1 	RSSI: 53
22-57-11.756000,[R]: 0 
22-57-11.765000,[R]: 50 
22-57-11.766000,[R]: 0 
22-57-11.775000,[R]: 0 
22-57-11.785000,[R]: 50 
22-57-11.786000,[R]: 0 
22-57-11.795000,[R]: 0 
22-57-11.798000,S 1 	RSSI: 53
22-57-11.808000,[R]: 50 
22-57-11.809000,[R]: 0 
22-57-11.812000,S 1 	RSSI: 53
22-57-11.816000,[R]: 0 
22-57-11.825000,[R]: 50 
22-57-11.826000,[R]: 0 
22-57-11.835000,[R]: 0 
22-57-11.845000,[R]: 50 
22-57-11.848000,[R]: 0 
22-57-11.855000,[R]: 0 
22-57-11.858000,S 1 	RSSI: 53
22-57-11.865000,[R]: 50 
22-57-11.866000,[R]: 0 
22-57-11.872000,S 1 	RSSI: 53
22-57-11.876000,[R]: 0 
22-57-11.880000,S 1 	RSSI: 53
22-57-11.885000,[R]: 50 
22-57-11.886000,[R]: 0 
22-57-11.892000,S 1 	RSSI: 53
22-57-11.895000,[R]: 0 
22-57-11.904000,[R]: 50 
22-57-11.906000,[R]: 0 
22-57-11.915000,[R]: 0 
22-57-11.924000,[R]: 50 
22-57-11.927000,[R]: 0 
22-57-11.935000,[R]: 0 
22-57-11.938000,S 1 	RSSI: 53
22-57-11.944000,[R]: 50 
22-57-11.946000,[R]: 0 
22-57-11.951000,S 1 	RSSI: 53
22-57-11.955000,[R]: 0 
22-57-11.964000,[R]: 50 
22-57-11.966000,[R]: 0 
22-57-11.975000,[R]: 0 
22-57-11.985000,[R]: 50 
22-57-11.994000,[R]: 0 
22-57-11.995000,[R]: 0 
22-57-12.004000,[R]: 50 
22-57-12.005000,[R]: 0 
22-57-12.021000,[R]: 0 
22-57-12.022000,S 1 	RSSI: 53
22-57-12.024000,[R]: 50 
22-57-12.025000,[R]: 0 
22-57-12.031000,S 1 	RSSI: 53
22-57-12.055000,[R]: 0 
22-57-12.056000,[R]: 50 
22-57-12.056000,[R]: 0 
22-57-12.057000,[R]: 0 
22-57-12.066000,[R]: 50 
22-57-12.067000,[R]: 0 
22-57-12.076000,[R]: 0 
22-57-12.080000,S 1 	RSSI: 53
22-57-12.084000,[R]: 50 
22-57-12.088000,[R]: 0 
22-57-12.091000,S 1 	RSSI: 53
22-57-12.095000,[R]: 0 
22-57-12.105000,[R]: 50 
22-57-12.105000,[R]: 0 
22-57-12.116000,[R]: 0 
22-57-12.125000,[R]: 50 
22-57-12.128000,[R]: 0 
22-57-12.136000,[R]: 0 
22-57-12.145000,[R]: 50 
22-57-12.146000,[R]: 0 
22-57-12.155000,[R]: 0 
22-57-12.158000,S 1 	RSSI: 53
22-57-12.165000,[R]: 50 
22-57-12.165000,[R]: 0 
22-57-12.172000,S 1 	RSSI: 53
22-57-12.179000,[R]: 0 
22-57-12.185000,[R]: 50 
22-57-12.186000,[R]: 0 
22-57-12.195000,[R]: 0 
22-57-12.205000,[R]: 50 
22-57-12.207000,[R]: 0 
22-57-12.216000,[R]: 0 
22-57-12.218000,S 1 	RSSI: 53
22-57-12.226000,[R]: 50 
22-57-12.227000,[R]: 0 
22-57-12.235000,[R]: 0 
22-57-12.239000,S 1 	RSSI: 53
22-57-12.245000,[R]: 50 
22-57-12.247000,[R]: 0 
22-57-12.252000,S 1 	RSSI: 53
22-57-12.255000,[R]: 0 
22-57-12.265000,[R]: 50 
22-57-12.271000,[R]: 0 
22-57-12.274000,[R]: 0 
22-57-12.284000,[R]: 50 
22-57-12.285000,[R]: 0 
22-57-12.294000,[R]: 0 
22-57-12.297000,S 1 	RSSI: 53
22-57-12.304000,[R]: 50 
22-57-12.305000,[R]: 0 
22-57-12.311000,S 1 	RSSI: 53
22-57-12.316000,[R]: 0 
22-57-12.324000,[R]: 50 
22-57-12.325000,[R]: 0 
22-57-12.334000,[R]: 0 
22-57-12.344000,[R]: 50 
22-57-12.347000,[R]: 0 
22-57-12.354000,[R]: 0 
22-57-12.358000,S 1 	RSSI: 53
22-57-12.365000,[R]: 50 
22-57-12.365000,[R]: 0 
22-57-12.371000,S 1 	RSSI: 53
22-57-12.374000,[R]: 0 
22-57-12.378000,S 1 	RSSI: 53
22-57-12.384000,[R]: 50 
22-57-12.385000,[R]: 0 
22-57-12.391000,S 1 	RSSI: 53
22-57-12.394000,[R]: 0 
22-57-12.404000,[R]: 50 
22-57-12.407000,[R]: 0 
22-57-12.415000,[R]: 0 
22-57-12.424000,[R]: 50 
22-57-12.426000,[R]: 0 
22-57-12.435000,[R]: 0 
22-57-12.439000,S 1 	RSSI: 53
22-57-12.444000,[R]: 50 
22-57-12.446000,[R]: 0 
22-57-12.451000,S 1 	RSSI: 53
22-57-12.455000,[R]: 0 
22-57-12.464000,[R]: 50 
22-57-12.465000,[R]: 0 
22-57-12.475000,[R]: 0 
22-57-12.484000,[R]: 50 
22-57-12.489000,[R]: 0 
22-57-12.495000,[R]: 0 
22-57-12.498000,S 1 	RSSI: 53
22-57-12.505000,[R]: 50 
22-57-12.505000,[R]: 0 
22-57-12.511000,S 1 	RSSI: 53
22-57-12.515000,[R]: 0 
22-57-12.525000,[R]: 50 
22-57-12.525000,[R]: 0 
22-57-12.535000,[R]: 0 
22-57-12.545000,[R]: 50 
22-57-12.545000,[R]: 0 
22-57-12.556000,[R]: 0 
22-57-12.578000,[R]: 50 
22-57-12.587000,[R]: 0 
22-57-12.589000,[R]: 0 
22-57-12.592000,[R]: 50 
22-57-12.592000,[R]: 0 
22-57-12.595000,[R]: 0 
22-57-12.605000,[R]: 50 
22-57-12.606000,[R]: 0 
22-57-12.615000,[R]: 0 
22-57-12.625000,[R]: 50 
22-57-12.626000,[R]: 0 
22-57-12.635000,[R]: 0 
22-57-12.645000,[R]: 50 
22-57-12.645000,[R]: 0 
22-57-12.654000,[R]: 0 
22-57-12.664000,[R]: 50 
22-57-12.665000,[R]: 0 
22-57-12.674000,[R]: 0 
22-57-12.684000,[R]: 50 
22-57-12.685000,[R]: 0 
22-57-12.694000,[R]: 0 
22-57-12.704000,[R]: 50 
22-57-12.707000,[R]: 0 
22-57-12.714000,[R]: 0 
22-57-12.724000,[R]: 50 
22-57-12.725000,[R]: 0 
22-57-12.734000,[R]: 0 
22-57-12.744000,[R]: 50 
22-57-12.745000,[R]: 0 
22-57-12.754000,[R]: 0 
22-57-12.762000,S 1 	RSSI: 53
22-57-12.764000,[R]: 50 
22-57-12.774000,[R]: 0 
22-57-12.781000,S 1 	RSSI: 53
22-57-12.784000,[R]: 50 
22-57-12.794000,[R]: 0 
22-57-12.802000,S 1 	RSSI: 53
22-57-12.804000,[R]: 50 
22-57-12.815000,[R]: 0 
22-57-12.821000,S 1 	RSSI: 53
22-57-12.824000,[R]: 50 
22-57-12.834000,[R]: 0 
22-57-12.842000,S 1 	RSSI: 53
22-57-12.844000,[R]: 50 
22-57-12.862000,S 1 	RSSI: 53
22-57-12.864000,[R]: 50 
22-57-12.875000,[R]: 0 
22-57-12.882000,S 1 	RSSI: 53
22-57-12.885000,[R]: 50 
22-57-12.885000,[R]: 0 
22-57-12.895000,[R]: 0 
22-57-12.902000,S 1 	RSSI: 53
22-57-12.904000,[R]: 50 
22-57-12.915000,[R]: 0 
22-57-12.923000,S 1 	RSSI: 53
22-57-12.925000,[R]: 50 
22-57-12.935000,[R]: 0 
22-57-12.942000,S 1 	RSSI: 53
22-57-12.945000,[R]: 50 
22-57-12.955000,[R]: 0 
22-57-12.962000,S 1 	RSSI: 53
22-57-12.965000,[R]: 50 
22-57-12.975000,[R]: 0 
22-57-12.982000,S 1 	RSSI: 53
22-57-12.985000,[R]: 50 
22-57-12.995000,[R]: 0 
22-57-13.002000,S 1 	RSSI: 53
22-57-13.006000,[R]: 50 
22-57-13.015000,[R]: 0 
22-57-13.021000,S 1 	RSSI: 53
22-57-13.024000,[R]: 50 
22-57-13.025000,[R]: 0 
22-57-13.034000,[R]: 0 
22-57-13.041000,S 1 	RSSI: 53
22-57-13.044000,[R]: 50 
22-57-13.061000,S 1 	RSSI: 53
22-57-13.065000,[R]: 50 
22-57-13.074000,[R]: 0 
22-57-13.081000,S 1 	RSSI: 53
22-57-13.084000,[R]: 50 
22-57-13.085000,[R]: 0 
22-57-13.094000,[R]: 0 
22-57-13.102000,S 1 	RSSI: 53
22-57-13.104000,[R]: 50 
22-57-13.114000,[R]: 0 
22-57-13.121000,S 1 	RSSI: 53
22-57-13.124000,[R]: 50 
22-57-13.134000,[R]: 0 
22-57-13.141000,S 1 	RSSI: 53
22-57-13.144000,[R]: 50 
22-57-13.154000,[R]: 0 
22-57-13.161000,S 1 	RSSI: 53
22-57-13.165000,[R]: 50 
22-57-13.165000,[R]: 0 
22-57-13.174000,[R]: 0 
22-57-13.182000,S 1 	RSSI: 53
22-57-13.186000,[R]: 50 
22-57-13.194000,[R]: 0 
22-57-13.202000,S 1 	RSSI: 53
22-57-13.204000,[R]: 50 
22-57-13.249000,[R]: 0 
22-57-13.249000,S 1 	RSSI: 53
22-57-13.251000,[R]: 50 
22-57-13.251000,[R]: 0 
22-57-13.251000,S 1 	RSSI: 53
22-57-13.252000,[R]: 50 
22-57-13.252000,S 1 	RSSI: 53
22-57-13.254000,[R]: 0 
22-57-13.261000,S 1 	RSSI: 53
22-57-13.264000,[R]: 50 
22-57-13.272000,[R]: 0 
22-57-13.274000,[R]: 0 
22-57-13.282000,S 1 	RSSI: 53
22-57-13.285000,[R]: 50 
22-57-13.295000,[R]: 0 
22-57-13.302000,S 1 	RSSI: 53
22-57-13.305000,[R]: 50 
22-57-13.315000,[R]: 0 
22-57-13.322000,S 1 	RSSI: 53
22-57-13.325000,[R]: 50 
22-57-13.335000,[R]: 0 
22-57-13.342000,S 1 	RSSI: 53
22-57-13.345000,[R]: 50 
22-57-13.355000,[R]: 0 
22-57-13.362000,S 1 	RSSI: 53
22-57-13.365000,[R]: 50 
22-57-13.375000,[R]: 0 
22-57-13.385000,[R]: 50 
22-57-13.385000,[R]: 0 
22-57-13.394000,[R]: 0 
22-57-13.401000,S 1 	RSSI: 53
22-57-13.404000,[R]: 50 
22-57-13.414000,[R]: 0 
22-57-13.421000,S 1 	RSSI: 53
22-57-13.424000,[R]: 50 
22-57-13.434000,[R]: 0 
22-57-13.441000,S 1 	RSSI: 53
22-57-13.444000,[R]: 50 
22-57-13.454000,[R]: 0 
22-57-13.461000,S 1 	RSSI: 53
22-57-13.464000,[R]: 50 
22-57-13.465000,[R]: 0 
22-57-13.474000,[R]: 0 
22-57-13.481000,S 1 	RSSI: 53
22-57-13.484000,[R]: 50 
22-57-13.494000,[R]: 0 
22-57-13.503000,S 1 	RSSI: 53
22-57-13.504000,[R]: 50 
22-57-13.514000,[R]: 0 
22-57-13.521000,S 1 	RSSI: 53
22-57-13.524000,[R]: 50 
