21-21-06.158000,----------------
21-22-15.038000,S 4 	RSSI: 46
21-22-15.046000,[R]: 0 
21-22-15.053000,[R]: 50 
21-22-15.063000,S 4 	RSSI: 46
21-22-15.071000,S 1 	RSSI: 50
21-22-15.074000,[R]: 50 
21-22-15.087000,S 4 	RSSI: 46
21-22-15.095000,[R]: 50 
21-22-15.108000,S 4 	RSSI: 46
21-22-15.115000,[R]: 50 
21-22-15.128000,S 4 	RSSI: 46
21-22-15.135000,[R]: 50 
21-22-15.149000,S 4 	RSSI: 46
21-22-15.156000,[R]: 50 
21-22-15.169000,S 4 	RSSI: 46
21-22-15.173000,S 1 	RSSI: 49
21-22-15.176000,[R]: 50 
21-22-15.189000,S 4 	RSSI: 46
21-22-15.195000,S 3 	RSSI: 44
21-22-15.197000,[R]: 50 
21-22-15.215000,S 3 	RSSI: 44
21-22-15.218000,[R]: 50 
21-22-15.223000,S 1 	RSSI: 49
21-22-15.236000,S 3 	RSSI: 44
21-22-15.239000,[R]: 50 
21-22-15.257000,S 3 	RSSI: 44
21-22-15.259000,[R]: 50 
21-22-15.271000,[R]: 0 
21-22-15.277000,S 3 	RSSI: 44
21-22-15.280000,[R]: 50 
21-22-15.297000,S 3 	RSSI: 44
21-22-15.300000,[R]: 50 
21-22-15.318000,S 3 	RSSI: 44
21-22-15.323000,[R]: 50 
21-22-15.323000,S 1 	RSSI: 49
21-22-15.337000,S 3 	RSSI: 44
21-22-15.340000,[R]: 50 
21-22-15.358000,S 3 	RSSI: 44
21-22-15.361000,[R]: 50 
21-22-15.382000,[R]: 50 
21-22-15.394000,S 1 	RSSI: 49
21-22-15.402000,[R]: 50 
21-22-15.416000,S 1 	RSSI: 50
21-22-15.423000,[R]: 50 
21-22-15.443000,[R]: 50 
21-22-15.448000,S 1 	RSSI: 49
21-22-15.464000,[R]: 50 
21-22-15.466000,S 5 	RSSI: 46
21-22-15.471000,S 1 	RSSI: 49
21-22-15.475000,S 1 	RSSI: 49
21-22-15.486000,[R]: 50 
21-22-15.506000,[R]: 50 
21-22-15.526000,[R]: 50 
21-22-15.547000,[R]: 50 
21-22-15.567000,[R]: 50 
21-22-15.588000,[R]: 50 
21-22-15.596000,[R]: 0 
21-22-15.604000,[R]: 50 
21-22-15.618000,S 5 	RSSI: 46
21-22-15.622000,S 1 	RSSI: 49
21-22-15.623000,[R]: 0 
21-22-15.626000,S 1 	RSSI: 49
21-22-15.629000,[R]: 50 
21-22-15.640000,S 4 	RSSI: 46
21-22-15.646000,[R]: 0 
21-22-15.655000,[R]: 50 
21-22-15.661000,S 4 	RSSI: 46
21-22-15.668000,S 1 	RSSI: 49
21-22-15.671000,[R]: 0 
21-22-15.680000,[R]: 50 
21-22-15.689000,S 4 	RSSI: 46
21-22-15.697000,[R]: 0 
21-22-15.704000,[R]: 50 
