20-01-50.037000,--------------------------------
20-01-55.121000,[R]: 2 
20-01-55.122000,[R]: 50 
20-01-55.123000,[R]: 20 
20-01-55.123000,[R]: 1 
20-01-55.124000,S 1 	RSSI: 46
20-01-55.124000,[R]: 2 
20-01-55.125000,[R]: 50 
20-01-55.125000,[R]: 1 
20-01-55.129000,S 1 	RSSI: 46
20-01-55.131000,[R]: 2 
20-01-55.132000,[R]: 50 
20-01-55.133000,[R]: 1 
20-01-55.133000,S 1 	RSSI: 46
20-01-55.134000,[R]: 2 
20-01-55.134000,[R]: 50 
20-01-55.134000,[R]: 1 
20-01-55.135000,S 1 	RSSI: 46
20-01-55.135000,[R]: 2 
20-01-55.136000,[R]: 50 
20-01-55.136000,[R]: 1 
20-01-55.139000,S 1 	RSSI: 46
20-01-55.139000,[R]: 2 
20-01-55.141000,[R]: 50 
20-01-55.141000,[R]: 1 
20-01-55.142000,S 1 	RSSI: 46
20-01-55.143000,[R]: 2 
20-01-55.143000,[R]: 50 
20-01-55.144000,[R]: 20 
20-01-55.144000,[R]: 1 
20-01-55.145000,S 1 	RSSI: 46
20-01-55.145000,[R]: 2 
20-01-55.151000,[R]: 50 
20-01-55.152000,[R]: 1 
20-01-55.153000,S 1 	RSSI: 46
20-01-55.154000,[R]: 2 
20-01-55.154000,[R]: 50 
20-01-55.155000,[R]: 1 
20-01-55.155000,S 1 	RSSI: 46
20-01-55.156000,[R]: 2 
20-01-55.156000,[R]: 50 
20-01-55.157000,[R]: 1 
20-01-55.157000,S 1 	RSSI: 46
20-01-55.158000,[R]: 2 
20-01-55.162000,[R]: 50 
20-01-55.162000,[R]: 1 
20-01-55.164000,S 1 	RSSI: 46
20-01-55.164000,[R]: 2 
20-01-55.165000,[R]: 50 
20-01-55.166000,[R]: 1 
20-01-55.166000,S 1 	RSSI: 46
20-01-55.168000,[R]: 2 
20-01-55.168000,[R]: 50 
20-01-55.169000,[R]: 1 
20-01-55.172000,S 1 	RSSI: 46
20-01-55.172000,[R]: 2 
20-01-55.173000,[R]: 50 
20-01-55.173000,[R]: 1 
20-01-55.174000,S 1 	RSSI: 46
20-01-55.174000,[R]: 2 
20-01-55.175000,[R]: 50 
20-01-55.178000,[R]: 1 
20-01-55.179000,S 1 	RSSI: 46
20-01-55.181000,[R]: 2 
20-01-55.182000,[R]: 50 
20-01-55.183000,[R]: 1 
20-01-55.183000,S 1 	RSSI: 46
20-01-55.184000,[R]: 2 
20-01-55.184000,[R]: 50 
20-01-55.185000,[R]: 1 
20-01-55.185000,S 1 	RSSI: 46
20-01-55.185000,[R]: 2 
20-01-55.186000,[R]: 50 
20-01-55.186000,[R]: 1 
20-01-55.187000,S 1 	RSSI: 46
20-01-55.187000,[R]: 2 
20-01-55.188000,[R]: 50 
20-01-55.188000,[R]: 20 
20-01-55.189000,[R]: 1 
20-01-55.192000,S 1 	RSSI: 46
20-01-55.193000,[R]: 2 
20-01-55.193000,[R]: 50 
20-01-55.194000,[R]: 1 
20-01-55.194000,S 1 	RSSI: 46
20-01-55.195000,[R]: 2 
20-01-55.195000,[R]: 50 
20-01-55.196000,[R]: 1 
20-01-55.196000,S 1 	RSSI: 46
20-01-55.202000,[R]: 2 
20-01-55.203000,[R]: 50 
20-01-55.204000,[R]: 1 
20-01-55.204000,S 1 	RSSI: 46
20-01-55.205000,[R]: 2 
20-01-55.205000,[R]: 50 
20-01-55.206000,[R]: 1 
20-01-55.206000,S 1 	RSSI: 46
20-01-55.207000,[R]: 2 
20-01-55.207000,[R]: 50 
20-01-55.207000,[R]: 1 
20-01-55.212000,S 1 	RSSI: 46
20-01-55.213000,[R]: 2 
20-01-55.214000,[R]: 50 
20-01-55.215000,[R]: 20 
20-01-55.215000,[R]: 1 
20-01-55.216000,S 1 	RSSI: 46
20-01-55.216000,[R]: 2 
20-01-55.217000,[R]: 50 
20-01-55.217000,[R]: 1 
20-01-55.218000,S 1 	RSSI: 46
20-01-55.218000,[R]: 2 
20-01-55.219000,[R]: 50 
20-01-55.224000,[R]: 1 
20-01-55.224000,S 1 	RSSI: 46
20-01-55.225000,[R]: 2 
20-01-55.226000,[R]: 50 
20-01-55.226000,[R]: 1 
20-01-55.226000,S 1 	RSSI: 46
20-01-55.227000,[R]: 2 
20-01-55.227000,[R]: 50 
20-01-55.228000,[R]: 1 
20-01-55.228000,S 1 	RSSI: 46
20-01-55.229000,[R]: 2 
20-01-55.229000,[R]: 50 
20-01-55.231000,[R]: 1 
20-01-55.231000,S 1 	RSSI: 46
20-01-55.237000,[R]: 2 
20-01-55.240000,[R]: 50 
20-01-55.241000,[R]: 20 
20-01-55.242000,[R]: 1 
20-01-55.242000,S 1 	RSSI: 46
20-01-55.244000,[R]: 2 
20-01-55.245000,[R]: 50 
20-01-55.246000,[R]: 1 
20-01-55.247000,S 1 	RSSI: 46
20-01-55.247000,[R]: 2 
20-01-55.248000,[R]: 50 
20-01-55.248000,[R]: 1 
20-01-55.249000,S 1 	RSSI: 46
20-01-55.249000,[R]: 2 
20-01-55.251000,[R]: 50 
20-01-55.252000,[R]: 1 
20-01-55.253000,S 1 	RSSI: 46
20-01-55.254000,[R]: 2 
20-01-55.255000,[R]: 50 
20-01-55.255000,[R]: 1 
20-01-55.256000,S 1 	RSSI: 46
20-01-55.256000,[R]: 2 
20-01-55.257000,[R]: 50 
20-01-55.257000,[R]: 1 
20-01-55.258000,S 1 	RSSI: 46
20-01-55.258000,[R]: 2 
20-01-55.261000,[R]: 50 
20-01-55.265000,[R]: 20 
20-01-55.265000,[R]: 1 
20-01-55.266000,S 1 	RSSI: 46
20-01-55.267000,[R]: 2 
20-01-55.267000,[R]: 50 
20-01-55.268000,[R]: 1 
20-01-55.268000,S 1 	RSSI: 46
20-01-55.269000,[R]: 2 
20-01-55.269000,[R]: 50 
20-01-55.275000,[R]: 1 
20-01-55.275000,S 1 	RSSI: 46
20-01-55.276000,[R]: 2 
20-01-55.276000,[R]: 50 
20-01-55.277000,[R]: 1 
20-01-55.277000,S 1 	RSSI: 46
20-01-55.278000,[R]: 2 
20-01-55.280000,[R]: 50 
20-01-55.290000,S 1 	RSSI: 46
20-01-55.290000,[R]: 1 
20-01-55.291000,[R]: 2 
20-01-55.292000,[R]: 50 
20-01-55.292000,S 1 	RSSI: 46
20-01-55.293000,[R]: 1 
20-01-55.294000,[R]: 2 
20-01-55.294000,[R]: 50 
20-01-55.295000,S 1 	RSSI: 46
20-01-55.295000,[R]: 1 
20-01-55.295000,[R]: 2 
20-01-55.296000,[R]: 50 
20-01-55.301000,S 1 	RSSI: 46
20-01-55.302000,[R]: 1 
20-01-55.303000,[R]: 2 
20-01-55.303000,[R]: 50 
20-01-55.303000,S 1 	RSSI: 46
20-01-55.304000,[R]: 1 
20-01-55.305000,[R]: 20 
20-01-55.305000,[R]: 1 
20-01-55.305000,S 1 	RSSI: 46
20-01-55.306000,[R]: 2 
20-01-55.306000,[R]: 50 
20-01-55.307000,[R]: 1 
20-01-55.307000,S 1 	RSSI: 46
20-01-55.308000,[R]: 2 
20-01-55.308000,[R]: 50 
20-01-55.312000,[R]: 1 
20-01-55.313000,S 1 	RSSI: 46
20-01-55.314000,[R]: 2 
20-01-55.315000,[R]: 50 
20-01-55.315000,[R]: 1 
20-01-55.316000,S 1 	RSSI: 46
20-01-55.316000,[R]: 2 
20-01-55.317000,[R]: 50 
20-01-55.317000,[R]: 1 
20-01-55.318000,S 1 	RSSI: 46
20-01-55.318000,[R]: 2 
20-01-55.318000,[R]: 50 
