23-20-44.698000,[R]: 5 
23-20-44.699000,[R]: 6 
23-20-44.706000,[R]: 7 
23-20-44.706000,[R]: 8 
23-20-44.707000,[R]: 1 
23-20-44.710000,[R]: 50 
23-20-44.717000,[R]: 2 
23-20-44.718000,[R]: 3 
23-20-44.718000,[R]: 4 
23-20-44.728000,S 8 	RSSI: 47
23-20-44.728000,[R]: 5 
23-20-44.734000,[R]: 6 
23-20-44.737000,[R]: 7 
23-20-44.737000,[R]: 8 
23-20-44.739000,[R]: 1 
23-20-44.740000,[R]: 50 
23-20-44.752000,[R]: 2 
23-20-44.758000,[R]: 3 
23-20-44.759000,[R]: 20 
23-20-44.759000,[R]: 1 
23-20-44.759000,[R]: 50 
23-20-44.760000,[R]: 2 
23-20-44.760000,[R]: 3 
23-20-44.761000,[R]: 4 
23-20-44.761000,[R]: 5 
23-20-44.762000,[R]: 6 
23-20-44.762000,[R]: 7 
23-20-44.763000,[R]: 8 
23-20-44.764000,[R]: 1 
23-20-44.764000,[R]: 50 
23-20-44.774000,[R]: 2 
23-20-44.779000,[R]: 3 
23-20-44.780000,[R]: 4 
23-20-44.781000,[R]: 5 
23-20-44.783000,[R]: 6 
23-20-44.790000,[R]: 7 
23-20-44.791000,[R]: 8 
23-20-44.791000,[R]: 1 
23-20-44.792000,[R]: 50 
23-20-44.792000,S 3 	RSSI: 56
23-20-44.793000,[R]: 2 
23-20-44.793000,[R]: 3 
23-20-44.794000,[R]: 4 
23-20-44.795000,[R]: 5 
23-20-44.796000,[R]: 6 
23-20-44.796000,[R]: 7 
23-20-44.813000,[R]: 8 
23-20-44.818000,[R]: 1 
23-20-44.818000,[R]: 50 
23-20-44.822000,[R]: 2 
23-20-44.823000,[R]: 3 
23-20-44.824000,[R]: 4 
23-20-44.827000,[R]: 5 
23-20-44.828000,[R]: 20 
23-20-44.831000,[R]: 1 
23-20-44.832000,[R]: 50 
23-20-44.833000,[R]: 2 
23-20-44.833000,[R]: 3 
23-20-44.837000,[R]: 4 
23-20-44.837000,[R]: 5 
23-20-44.838000,[R]: 6 
23-20-44.838000,S 6 	RSSI: 51
23-20-44.847000,[R]: 7 
23-20-44.847000,[R]: 8 
23-20-44.848000,[R]: 1 
23-20-44.858000,[R]: 50 
23-20-44.859000,[R]: 2 
23-20-44.859000,S 4 	RSSI: 75
23-20-44.860000,[R]: 3 
23-20-44.860000,[R]: 4 
23-20-44.861000,[R]: 5 
23-20-44.862000,S 7 	RSSI: 44
23-20-44.862000,[R]: 6 
23-20-44.863000,[R]: 7 
23-20-44.863000,[R]: 8 
23-20-44.864000,[R]: 1 
23-20-44.874000,[R]: 50 
23-20-44.875000,S 8 	RSSI: 49
23-20-44.875000,[R]: 2 
23-20-44.876000,[R]: 3 
23-20-44.880000,[R]: 20 
23-20-44.880000,[R]: 1 
23-20-44.881000,[R]: 50 
23-20-44.888000,[R]: 2 
23-20-44.889000,[R]: 3 
23-20-44.889000,[R]: 4 
23-20-44.890000,[R]: 5 
23-20-44.891000,[R]: 6 
23-20-44.891000,[R]: 7 
23-20-44.892000,[R]: 8 
23-20-44.892000,S 8 	RSSI: 47
23-20-44.893000,[R]: 1 
23-20-44.893000,[R]: 50 
23-20-44.897000,[R]: 2 
23-20-44.897000,[R]: 3 
23-20-44.910000,[R]: 4 
23-20-44.912000,[R]: 5 
23-20-44.912000,[R]: 6 
23-20-44.913000,[R]: 7 
23-20-44.913000,[R]: 8 
23-20-44.917000,[R]: 1 
23-20-44.918000,[R]: 50 
23-20-44.919000,[R]: 2 
23-20-44.919000,[R]: 3 
23-20-44.920000,[R]: 4 
23-20-44.920000,[R]: 5 
23-20-44.921000,[R]: 6 
23-20-44.922000,[R]: 7 
23-20-44.922000,[R]: 8 
23-20-44.923000,[R]: 1 
23-20-44.924000,[R]: 50 
23-20-44.924000,[R]: 2 
23-20-44.953000,[R]: 3 
23-20-44.953000,[R]: 4 
23-20-44.954000,[R]: 5 
23-20-44.954000,[R]: 20 
23-20-44.955000,[R]: 1 
23-20-44.956000,[R]: 50 
23-20-44.957000,[R]: 2 
23-20-44.963000,[R]: 3 
23-20-44.964000,[R]: 4 
23-20-44.964000,[R]: 5 
23-20-44.965000,[R]: 6 
23-20-44.966000,S 6 	RSSI: 51
23-20-44.967000,[R]: 7 
23-20-44.986000,S 3 	RSSI: 55
23-20-44.989000,[R]: 8 
23-20-44.990000,S 4 	RSSI: 62
23-20-44.990000,[R]: 1 
23-20-44.990000,[R]: 50 
23-20-45.010000,[R]: 2 
23-20-45.011000,[R]: 3 
23-20-45.011000,S 7 	RSSI: 44
23-20-45.022000,[R]: 4 
23-20-45.040000,[R]: 5 
23-20-45.040000,[R]: 6 
23-20-45.062000,[R]: 7 
23-20-45.063000,[R]: 8 
23-20-45.063000,S 4 	RSSI: 63
23-20-45.064000,[R]: 1 
23-20-45.064000,[R]: 50 
23-20-45.074000,S 8 	RSSI: 47
23-20-45.074000,[R]: 2 
23-20-45.075000,[R]: 3 
23-20-45.075000,[R]: 20 
23-20-45.076000,[R]: 1 
23-20-45.076000,[R]: 50 
23-20-45.076000,[R]: 2 
23-20-45.077000,[R]: 3 
23-20-45.077000,[R]: 4 
23-20-45.092000,[R]: 5 
23-20-45.092000,[R]: 6 
23-20-45.093000,[R]: 7 
23-20-45.093000,[R]: 8 
23-20-45.103000,[R]: 1 
23-20-45.109000,[R]: 50 
23-20-45.113000,[R]: 2 
23-20-45.113000,[R]: 3 
23-20-45.144000,[R]: 4 
23-20-45.144000,[R]: 5 
23-20-45.145000,[R]: 6 
23-20-45.152000,[R]: 7 
23-20-45.173000,[R]: 8 
23-20-45.174000,S 8 	RSSI: 47
23-20-45.175000,[R]: 1 
23-20-45.175000,[R]: 50 
23-20-45.176000,[R]: 2 
23-20-45.176000,[R]: 3 
23-20-45.177000,[R]: 4 
23-20-45.177000,[R]: 5 
23-20-45.197000,[R]: 6 
23-20-45.204000,[R]: 7 
23-20-45.205000,[R]: 8 
23-20-45.207000,[R]: 1 
23-20-45.208000,[R]: 50 
23-20-45.208000,[R]: 2 
23-20-45.209000,[R]: 3 
23-20-45.209000,[R]: 4 
23-20-45.210000,[R]: 5 
23-20-45.211000,[R]: 20 
23-20-45.218000,[R]: 1 
23-20-45.219000,[R]: 50 
23-20-45.220000,[R]: 2 
23-20-45.220000,[R]: 3 
23-20-45.221000,[R]: 4 
23-20-45.221000,S 6 	RSSI: 51
23-20-45.246000,[R]: 5 
23-20-45.246000,[R]: 6 
23-20-45.257000,[R]: 7 
23-20-45.258000,[R]: 8 
23-20-45.260000,[R]: 1 
23-20-45.261000,[R]: 50 
23-20-45.262000,[R]: 2 
23-20-45.263000,[R]: 3 
23-20-45.264000,[R]: 4 
23-20-45.278000,S 6 	RSSI: 51
23-20-45.294000,[R]: 5 
23-20-45.295000,[R]: 6 
23-20-45.311000,[R]: 7 
23-20-45.313000,[R]: 8 
23-20-45.322000,[R]: 1 
23-20-45.323000,[R]: 50 
23-20-45.323000,[R]: 2 
23-20-45.325000,[R]: 3 
23-20-45.327000,[R]: 4 
23-20-45.328000,S 6 	RSSI: 51
23-20-45.330000,[R]: 5 
23-20-45.331000,[R]: 6 
23-20-45.331000,[R]: 7 
23-20-45.355000,[R]: 8 
23-20-45.355000,[R]: 1 
23-20-45.360000,[R]: 50 
23-20-45.361000,[R]: 2 
23-20-45.362000,S 7 	RSSI: 44
23-20-45.362000,[R]: 3 
23-20-45.363000,[R]: 4 
23-20-45.363000,[R]: 5 
23-20-45.369000,[R]: 20 
23-20-45.372000,[R]: 1 
23-20-45.373000,[R]: 50 
23-20-45.373000,S 3 	RSSI: 55
23-20-45.383000,[R]: 2 
23-20-45.384000,S 4 	RSSI: 64
23-20-45.385000,[R]: 3 
23-20-45.385000,[R]: 4 
23-20-45.392000,S 8 	RSSI: 47
23-20-45.393000,[R]: 5 
23-20-45.394000,[R]: 6 
23-20-45.396000,[R]: 7 
23-20-45.396000,[R]: 8 
23-20-45.406000,[R]: 1 
23-20-45.407000,[R]: 50 
23-20-45.407000,[R]: 2 
23-20-45.413000,[R]: 3 
23-20-45.414000,[R]: 4 
23-20-45.415000,S 8 	RSSI: 46
23-20-45.416000,[R]: 5 
23-20-45.419000,[R]: 6 
