22-16-50.266000,"ÿ""Scanner enabled\r\n"""
22-17-03.336000,"""COUNT 1 1"
22-17-03.336000,[0] 0 0
22-17-03.337000,""""
22-17-03.337000,"""Sensor: 2. RSSI: 68"""
22-17-03.342000,"""Sensor: 1. RSSI: 60"""
22-17-03.346000,"""COUNT 1 1"
22-17-03.346000,[0] 0 68
22-17-03.347000,""""
22-17-03.350000,"""Sensor: 1. RSSI: 59"""
22-17-03.354000,"""Sensor: 2. RSSI: 69"""
22-17-03.355000,"""COUNT 1 1"
22-17-03.356000,[0] 0 0
22-17-03.356000,""""
22-17-03.358000,"""Sensor: 1. RSSI: 59"""
22-17-03.362000,"""Sensor: 2. RSSI: 68"""
22-17-03.365000,"""COUNT 1 1"
22-17-03.366000,[0] 0 0
22-17-03.366000,""""
22-17-03.370000,"""Sensor: 2. RSSI: 69"""
22-17-03.375000,"""COUNT 0 1"
22-17-03.376000,[0] 0 0
22-17-03.376000,""""
22-17-03.378000,"""Sensor: 1. RSSI: 59"""
22-17-03.383000,"""Sensor: 2. RSSI: 68"""
22-17-03.385000,"""COUNT 1 1"
22-17-03.386000,[0] 0 0
22-17-03.386000,""""
22-17-03.387000,"""Sensor: 1. RSSI: 59"""
22-17-03.391000,"""Sensor: 2. RSSI: 68"""
22-17-03.395000,"""COUNT 1 1"
22-17-03.396000,[0] 0 71
22-17-03.396000,""""
22-17-03.399000,"""Sensor: 2. RSSI: 69"""
22-17-03.404000,"""Sensor: 1. RSSI: 60"""
22-17-03.406000,"""COUNT 1 1"
22-17-03.407000,[0] 0 71
22-17-03.407000,""""
22-17-03.408000,"""Sensor: 2. RSSI: 68"""
22-17-03.413000,"""Sensor: 1. RSSI: 59"""
22-17-03.416000,"""COUNT 1 1"
22-17-03.416000,[0] 0 71
22-17-03.416000,""""
22-17-03.420000,"""Sensor: 1. RSSI: 59"""
22-17-03.425000,"""Sensor: 2. RSSI: 68"""
22-17-03.425000,"""COUNT 1 1"
22-17-03.427000,[0] 0 0
22-17-03.429000,""""
22-17-03.430000,"""Sensor: 1. RSSI: 59"""
22-17-03.436000,"""COUNT 1 0"
22-17-03.437000,[0] 0 82
22-17-03.438000,""""
22-17-03.439000,"""Sensor: 1. RSSI: 60"""
22-17-03.441000,"""Sensor: 2. RSSI: 69"""
22-17-03.446000,"""COUNT 1 1"
22-17-03.446000,[0] 0 0
22-17-03.447000,""""
22-17-03.449000,"""Sensor: 1. RSSI: 59"""
22-17-03.454000,"""Sensor: 2. RSSI: 69"""
22-17-03.456000,"""COUNT 1 1"
22-17-03.457000,[0] 0 0
22-17-03.459000,""""
22-17-03.460000,"""Sensor: 1. RSSI: 59"""
22-17-03.462000,"""Sensor: 2. RSSI: 68"""
22-17-03.466000,"""COUNT 1 1"
22-17-03.467000,[0] 0 72
22-17-03.467000,""""
22-17-03.470000,"""Sensor: 2. RSSI: 68"""
22-17-03.475000,"""Sensor: 1. RSSI: 59"""
22-17-03.477000,"""COUNT 1 1"
22-17-03.477000,[0] 0 73
22-17-03.479000,""""
22-17-03.480000,"""Sensor: 2. RSSI: 69"""
22-17-03.483000,"""Sensor: 1. RSSI: 60"""
22-17-03.487000,"""COUNT 1 1"
22-17-03.487000,[0] 0 73
22-17-03.489000,""""
22-17-03.490000,"""Sensor: 1. RSSI: 60"""
22-17-03.495000,"""Sensor: 2. RSSI: 68"""
22-17-03.496000,"""COUNT 1 1"
22-17-03.497000,[0] 0 0
22-17-03.497000,""""
22-17-03.499000,"""Sensor: 1. RSSI: 60"""
22-17-03.503000,"""Sensor: 2. RSSI: 68"""
22-17-03.506000,"""COUNT 1 1"
22-17-03.506000,[0] 0 75
22-17-03.507000,""""
22-17-03.508000,"""Sensor: 1. RSSI: 60"""
22-17-03.512000,"""Sensor: 2. RSSI: 68"""
22-17-03.516000,"""COUNT 1 1"
22-17-03.517000,[0] 0 0
22-17-03.518000,""""
22-17-03.519000,"""Sensor: 1. RSSI: 60"""
22-17-03.524000,"""Sensor: 2. RSSI: 68"""
