20-54-15.162000,[R]: 51 
20-54-15.166000,S 1 	RSSI: 66
20-54-15.182000,[R]: 51 
20-54-15.187000,S 1 	RSSI: 66
20-54-15.203000,[R]: 51 
20-54-15.208000,S 1 	RSSI: 66
20-54-15.223000,[R]: 51 
20-54-15.244000,[R]: 51 
20-54-15.263000,[R]: 51 
20-54-15.268000,S 1 	RSSI: 67
20-54-15.277000,S 1 	RSSI: 66
20-54-15.279000,[R]: 51 
20-54-15.297000,S 1 	RSSI: 67
20-54-15.301000,S 1 	RSSI: 67
20-54-15.305000,[R]: 51 
20-54-15.330000,[R]: 51 
20-54-15.346000,S 1 	RSSI: 66
20-54-15.349000,[R]: 51 
20-54-15.367000,S 1 	RSSI: 66
20-54-15.370000,[R]: 51 
20-54-15.387000,S 1 	RSSI: 66
20-54-15.390000,[R]: 51 
20-54-15.408000,S 1 	RSSI: 66
20-54-15.411000,[R]: 51 
20-54-15.431000,[R]: 51 
20-54-15.452000,[R]: 51 
20-54-15.472000,[R]: 51 
20-54-15.497000,S 1 	RSSI: 69
20-54-15.510000,[R]: 51 
20-54-15.538000,S 1 	RSSI: 70
20-54-15.544000,[R]: 51 
20-54-15.551000,[R]: 51 
20-54-15.554000,[R]: 51 
20-54-15.575000,[R]: 51 
20-54-15.588000,S 1 	RSSI: 69
20-54-15.596000,[R]: 51 
20-54-15.609000,S 1 	RSSI: 69
20-54-15.616000,[R]: 51 
20-54-15.629000,S 1 	RSSI: 67
20-54-15.636000,[R]: 51 
20-54-15.649000,S 1 	RSSI: 66
20-54-15.656000,[R]: 51 
20-54-15.677000,[R]: 51 
20-54-15.697000,[R]: 51 
20-54-15.717000,[R]: 51 
20-54-15.727000,S 1 	RSSI: 64
20-54-15.730000,[R]: 51 
20-54-15.747000,S 1 	RSSI: 64
20-54-15.751000,[R]: 51 
20-54-15.768000,S 1 	RSSI: 65
20-54-15.771000,[R]: 51 
20-54-15.776000,S 1 	RSSI: 65
20-54-15.779000,[R]: 51 
20-54-15.797000,S 1 	RSSI: 64
20-54-15.801000,S 1 	RSSI: 64
20-54-15.804000,[R]: 51 
20-54-15.824000,[R]: 51 
20-54-15.845000,[R]: 51 
20-54-15.865000,[R]: 51 
20-54-15.886000,[R]: 51 
20-54-15.907000,[R]: 51 
20-54-15.927000,[R]: 51 
20-54-15.947000,[R]: 51 
20-54-15.969000,[R]: 51 
20-54-15.978000,S 1 	RSSI: 62
20-54-15.981000,[R]: 51 
20-54-15.997000,S 1 	RSSI: 62
20-54-16.001000,S 1 	RSSI: 62
20-54-16.004000,[R]: 51 
20-54-16.029000,[R]: 51 
20-54-16.049000,[R]: 51 
20-54-16.066000,S 1 	RSSI: 61
20-54-16.070000,[R]: 51 
20-54-16.087000,S 1 	RSSI: 60
20-54-16.090000,[R]: 51 
20-54-16.108000,S 1 	RSSI: 60
20-54-16.111000,[R]: 51 
20-54-16.131000,[R]: 51 
20-54-16.152000,[R]: 51 
20-54-16.169000,S 1 	RSSI: 60
20-54-16.172000,[R]: 51 
20-54-16.190000,S 1 	RSSI: 60
20-54-16.193000,[R]: 51 
20-54-16.202000,S 1 	RSSI: 60
20-54-16.206000,[R]: 51 
20-54-16.223000,S 1 	RSSI: 60
20-54-16.226000,[R]: 51 
20-54-16.246000,[R]: 51 
20-54-16.254000,[R]: 51 
20-54-16.279000,[R]: 51 
20-54-16.300000,[R]: 51 
20-54-16.320000,[R]: 51 
20-54-16.325000,S 1 	RSSI: 60
20-54-16.339000,S 4 	RSSI: 44
20-54-16.342000,[R]: 51 
20-54-16.343000,S 5 	RSSI: 44
20-54-16.348000,S 1 	RSSI: 60
20-54-16.352000,S 1 	RSSI: 60
20-54-16.354000,[R]: 51 
20-54-16.364000,S 4 	RSSI: 44
20-54-16.367000,S 5 	RSSI: 44
20-54-16.374000,[R]: 51 
20-54-16.393000,S 5 	RSSI: 44
20-54-16.396000,[R]: 51 
20-54-16.404000,S 4 	RSSI: 44
20-54-16.412000,S 5 	RSSI: 44
20-54-16.415000,[R]: 51 
20-54-16.433000,S 5 	RSSI: 44
20-54-16.436000,[R]: 51 
20-54-16.453000,S 5 	RSSI: 44
20-54-16.456000,[R]: 51 
20-54-16.474000,S 5 	RSSI: 44
20-54-16.476000,[R]: 51 
20-54-16.494000,S 5 	RSSI: 44
20-54-16.497000,[R]: 51 
20-54-16.515000,S 5 	RSSI: 44
20-54-16.517000,[R]: 51 
20-54-16.530000,[R]: 51 
20-54-16.535000,S 5 	RSSI: 44
20-54-16.555000,[R]: 51 
20-54-16.568000,S 5 	RSSI: 44
20-54-16.580000,[R]: 51 
20-54-16.593000,S 5 	RSSI: 44
20-54-16.602000,S 1 	RSSI: 61
20-54-16.604000,[R]: 51 
20-54-16.617000,S 5 	RSSI: 44
20-54-16.621000,S 1 	RSSI: 61
20-54-16.624000,[R]: 51 
20-54-16.637000,S 5 	RSSI: 44
20-54-16.645000,[R]: 51 
20-54-16.658000,S 5 	RSSI: 44
20-54-16.665000,[R]: 51 
20-54-16.678000,S 5 	RSSI: 44
20-54-16.686000,[R]: 51 
20-54-16.699000,S 5 	RSSI: 44
20-54-16.707000,[R]: 51 
20-54-16.719000,S 5 	RSSI: 44
20-54-16.724000,S 1 	RSSI: 61
20-54-16.727000,[R]: 51 
20-54-16.744000,S 1 	RSSI: 61
20-54-16.747000,[R]: 51 
20-54-16.764000,S 1 	RSSI: 61
20-54-16.767000,[R]: 51 
20-54-16.777000,S 1 	RSSI: 61
20-54-16.780000,[R]: 51 
20-54-16.797000,S 1 	RSSI: 60
20-54-16.800000,[R]: 51 
20-54-16.821000,[R]: 51 
20-54-16.830000,[R]: 51 
20-54-16.853000,[R]: 51 
20-54-16.874000,[R]: 51 
20-54-16.894000,[R]: 51 
20-54-16.904000,S 1 	RSSI: 60
20-54-16.915000,[R]: 51 
20-54-16.925000,S 1 	RSSI: 60
20-54-16.935000,[R]: 51 
20-54-16.956000,[R]: 51 
20-54-16.977000,[R]: 51 
20-54-16.997000,[R]: 51 
20-54-17.017000,[R]: 51 
20-54-17.027000,S 1 	RSSI: 61
20-54-17.030000,[R]: 51 
20-54-17.047000,S 1 	RSSI: 60
20-54-17.051000,S 1 	RSSI: 60
20-54-17.055000,[R]: 51 
20-54-17.073000,S 1 	RSSI: 60
20-54-17.076000,S 1 	RSSI: 61
20-54-17.079000,[R]: 51 
20-54-17.100000,[R]: 51 
20-54-17.119000,[R]: 51 
20-54-17.140000,[R]: 51 
20-54-17.160000,[R]: 51 
20-54-17.181000,[R]: 51 
20-54-17.201000,[R]: 51 
20-54-17.222000,[R]: 51 
20-54-17.242000,[R]: 51 
20-54-17.252000,S 1 	RSSI: 61
20-54-17.255000,[R]: 51 
20-54-17.272000,S 1 	RSSI: 62
20-54-17.275000,[R]: 51 
20-54-17.296000,[R]: 51 
20-54-17.304000,[R]: 51 
20-54-17.324000,[R]: 51 
20-54-17.337000,S 1 	RSSI: 61
20-54-17.345000,[R]: 51 
20-54-17.358000,S 1 	RSSI: 61
20-54-17.365000,[R]: 51 
20-54-17.379000,S 1 	RSSI: 62
20-54-17.386000,[R]: 51 
20-54-17.399000,S 1 	RSSI: 62
20-54-17.406000,[R]: 51 
20-54-17.420000,S 1 	RSSI: 62
20-54-17.427000,[R]: 51 
20-54-17.441000,S 1 	RSSI: 62
20-54-17.448000,[R]: 51 
20-54-17.468000,[R]: 51 
20-54-17.477000,S 1 	RSSI: 63
20-54-17.481000,[R]: 51 
20-54-17.497000,S 1 	RSSI: 62
20-54-17.501000,S 1 	RSSI: 62
20-54-17.504000,[R]: 51 
20-54-17.522000,S 1 	RSSI: 62
20-54-17.526000,S 1 	RSSI: 62
20-54-17.529000,[R]: 51 
20-54-17.546000,S 1 	RSSI: 62
20-54-17.550000,S 1 	RSSI: 62
20-54-17.553000,[R]: 51 
20-54-17.571000,S 1 	RSSI: 62
20-54-17.574000,[R]: 51 
20-54-17.592000,S 1 	RSSI: 62
20-54-17.595000,[R]: 51 
20-54-17.612000,S 1 	RSSI: 64
20-54-17.615000,[R]: 51 
20-54-17.635000,[R]: 51 
20-54-17.656000,[R]: 51 
20-54-17.673000,S 1 	RSSI: 63
20-54-17.678000,[R]: 51 
20-54-17.694000,S 1 	RSSI: 63
20-54-17.697000,[R]: 51 
20-54-17.714000,S 1 	RSSI: 63
20-54-17.718000,[R]: 51 
20-54-17.727000,S 1 	RSSI: 63
20-54-17.730000,[R]: 51 
20-54-17.754000,[R]: 51 
20-54-17.780000,[R]: 51 
20-54-17.799000,[R]: 51 
20-54-17.813000,S 1 	RSSI: 63
20-54-17.820000,[R]: 51 
20-54-17.833000,S 1 	RSSI: 64
20-54-17.841000,[R]: 51 
20-54-17.855000,S 1 	RSSI: 64
20-54-17.861000,[R]: 51 
20-54-17.874000,S 1 	RSSI: 64
20-54-17.881000,[R]: 51 
20-54-17.901000,[R]: 51 
20-54-17.919000,S 1 	RSSI: 64
20-54-17.922000,[R]: 51 
20-54-17.939000,S 1 	RSSI: 64
20-54-17.943000,[R]: 51 
20-54-17.952000,S 1 	RSSI: 64
20-54-17.955000,[R]: 51 
20-54-17.972000,S 1 	RSSI: 64
20-54-17.975000,[R]: 51 
20-54-17.993000,S 1 	RSSI: 64
20-54-17.996000,[R]: 51 
20-54-18.001000,S 1 	RSSI: 65
20-54-18.004000,[R]: 51 
20-54-18.029000,[R]: 51 
